n,RMSE,MAE,R2,model,subset,fold
747,96.85121361135059,62.84076394761756,-0.480164431239241,chemberta,lambda500,0
303,143.69976364638663,121.4709202943585,-3.842626167881712,chemberta,lambda600,0
61,43.16450341060248,25.42152880058914,0.5614720431973624,chemberta,azo,0
1192,42.05170508850052,21.275814042040036,0.808983804409869,chemberta,da,0
422,37.59725669171105,21.976105885557985,0.8428839024483733,chemberta,dad,0
339,64.04179957538277,40.49426103890118,0.446653577102339,chemberta,bodipy,0
11,42.78222139892141,33.48884721235795,0.03974030452151134,chemberta,cyanine,0
0,,,,chemberta,squaraine,0
286,37.585684278754385,21.311701805844354,0.8276180836249334,chemberta,stilbene,0
1809,64.7821186415804,33.45794916017827,0.6903940353408564,chemberta,non_local,0
3751,48.66087044837369,23.537923566381256,0.7939159995315552,chemberta,full,1
786,95.05872190210927,62.20437532996456,-0.32971051833549225,chemberta,lambda500,1
320,144.1182166049444,124.24534066497863,-3.8445132397012847,chemberta,lambda600,1
49,32.5648136542229,22.21397555604273,0.6623442724898938,chemberta,azo,1
1219,42.38281035942676,21.346325111009442,0.8134139948736973,chemberta,da,1
450,39.88973571332912,22.418079663717446,0.8335913902179793,chemberta,dad,1
390,65.05664601585902,39.60442141801883,0.4257134522026881,chemberta,bodipy,1
13,25.44357298397707,15.602611835186298,0.7081467512663828,chemberta,cyanine,1
0,,,,chemberta,squaraine,1
319,46.14588990625807,25.737186585488093,0.7895798059069664,chemberta,stilbene,1
1867,64.19862259151752,33.573462563524366,0.7109357768911438,chemberta,non_local,1
3751,47.69976817380102,23.048677861876882,0.8004784639250095,chemberta,full,2
801,90.83981051758163,59.661307548285826,-0.26021489608322224,chemberta,lambda500,2
325,135.98287806369765,119.17187233077644,-3.8742147002411214,chemberta,lambda600,2
59,33.919846683531134,20.686008259401483,0.6410125870906173,chemberta,azo,2
1201,43.44173385333379,20.789449017436315,0.8062717432616777,chemberta,da,2
422,40.867719850343846,20.461048290203827,0.8061428554623352,chemberta,dad,2
349,62.15457777780042,37.93579629502373,0.43205740836057616,chemberta,bodipy,2
10,28.33039032655751,18.226132202148438,0.7387002203876458,chemberta,cyanine,2
0,,,,chemberta,squaraine,2
313,45.26135511438289,25.716350830284046,0.7673437952571003,chemberta,stilbene,2
1836,61.7731312326711,32.208998072013294,0.722429395179645,chemberta,non_local,2
3751,53.037078453282156,25.677368869457833,0.7563218357160855,chemberta,full,3
757,105.31572140930635,71.28709320132512,-0.541476415775064,chemberta,lambda500,3
308,158.11686041379207,139.59213998842964,-4.591283604355887,chemberta,lambda600,3
44,39.86913965357432,23.737795049493965,0.5732353843278546,chemberta,azo,3
