smiles,class_label,xrn
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,POS,47549
COc1ccc(CC2(OC)Oc3cc(OC)cc(OC)c3C2=O)cc1,POS,47555
N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,NEG,48454
C[C@H]1[C@H](c2ccc3c(c2)OCO3)c2c(ccc3c2OCO3)C[C@@H]1C,NEG,49360
COc1cc(/C=C/C=O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,49673
O=C1NC(c2c[nH]c3ccc(O)cc23)=C/C1=C1\C(=O)Nc2ccccc21,POS,49923
CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OC(C)(C)O[C@H]21,NEG,49951
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,NEG,50675
COc1cc2c(cc1O)[C@@H]1Cc3cc(OC)c(OC)cc3[C@H](C2)N1C,NEG,50692
O=C(O)CCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,50786
COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,POS,50851
CN1CCN(CCCN2c3ccccc3Sc3ccc(C#N)cc32)CC1,NEG,50929
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3C4=CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,POS,51116
Cc1c([C@H](C)[C@@H]2NC[C@@H](C)C[C@H]2O)ccc2c1C[C@H]1[C@H]2CCC2=CC(=O)CC[C@@]21C,NEG,51165
C1=C2c3cc4c(cc3CCN2Cc2c1ccc1c2OCO1)OCO4,POS,51215
CN1CCC2=C[C@H](O)[C@H]3OC(=O)c4cc5c(cc4[C@H]3[C@@H]21)OCO5,NEG,51553
COc1cc(C[C@@]2(O)CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,NEG,51809
