smiles,solvent_smiles,log10_mec
Cc1ccc(-c2cc(-c3ccccc3)oc2-c2ccccc2)cc1,CO,4.2455126678141495
O=c1[nH]c(=O)c2nc3c(ccc4ccccc43)nc2[nH]1,CO,4.7899964769587084
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,O,4.250420002308894
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,CC(C)=O,3.8100307864058394
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,CC#N,3.9299805905155147
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,ClCCl,3.785329835010767
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,CS(C)=O,3.7993405494535817
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,CO,3.9400181550076634
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,Cc1ccccc1,3.591064607026499
COc1ccc(/C=C/c2cc(=O)c3ccccc3o2)cc1OC,CO,4.259999795081887
C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@]1(O)C=CC(=O)[C@@]21C,CO,4.209515014542631
Cc1cn([C@H]2C[C@H](O)[C@@H](CBr)O2)c(=O)[nH]c1=O,CO,4.2552725051033065
O=c1[nH]c(=O)c2nc3cc4ccccc4cc3nc2[nH]1,CC#N,4.187520720836463
O=c1[nH]c(=O)c2nc3cc4ccccc4cc3nc2[nH]1,ClCCl,4.173186268412274
O=c1[nH]c(=O)c2nc3cc4ccccc4cc3nc2[nH]1,CO,4.600003086627741
C/C1=C\CCC23O[C@H]2[C@@H](OC3=O)c2c(C)coc2C1,CO,3.3100557377508912
O=C1c2ccccc2C(=O)c2cc3c(cc21)sc1ccccc13,CO,4.529994673069142
COc1ccc2c(=O)c(C)c(/C=C/c3ccccc3)oc2c1,CO,4.239999792886872
O=C(c1ccc(O)cc1)c1nc(-c2ccc(O)cc2)c[nH]1,CO,4.136720567156407
COc1cc2cccnc2c2[nH]c3ccccc3c(=O)c12,CO,4.7499989765583495
O[C@@H]1CC=C2CCN3Cc4cc5c(cc4[C@H]1[C@@H]23)OCO5,CCO,3.4899584794248346
O[C@@H]1CC=C2CCN3Cc4cc5c(cc4[C@H]1[C@@H]23)OCO5,CO,3.689930104018218
O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,CC#N,4.02938377768521
O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,CC#N,4.075546961392531
O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,CO,4.252853030979893
O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,CO,4.230448921378274
O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,CO,4.2552725051033065
CC(=O)Oc1c2ccccc2nc2c1[nH]c1ccccc12,CO,4.529994673069142
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,C1COCCO1,4.558708570533166
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,ClCCl,4.658011396657113
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,ClC(Cl)Cl,4.658488381309017
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,CC#N,4.540329474790874
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,CCO,4.511883360978874
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,ClC(Cl)Cl,4.5910646070264995
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,ClCCl,4.521138083704036
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,C1COCCO1,4.505149978319906
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,CO,4.519998529118848
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,C1CCOC1,4.544068044350276
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,Cc1ccccc1,5.021189299069938
O=c1[nH]c(=O)c2nc3ccc4ccccc4c3nc2[nH]1,CO,4.439997050795336
OC[C@H]1O[C@@H](Oc2ccccc2O)[C@H](O)[C@@H](O)[C@@H]1O,CO,3.7399676967595092
