smiles,xrn
NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=S)N1,44010
[H][C@@]12N(C)CCC1=CC[C@@]1([H])OC(=O)C3=CC4=C(OCO4)C=C3[C@@]21[H],44093
[H][C@@]12N(C)CCC1=CC[C@@]1([H])OC(=O)C3=C(C=C(OC)C(OC)=C3)[C@@]21[H],44124
COC1=CC(=CC=C1O)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,44723
COC(=O)\C=C\C1=CC=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,44724
OC[C@H]1O[C@@H](OC2=C(O)C=C(\C=C\C(O)=O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,44983
[H][C@]12CC[C@@]3([H])[C@]4([H])CC(=NO)[C@@]5([H])C[C@H](CC[C@]5(C)[C@@]4([H])CC[C@]13CN(C)[C@H]2C)N(C)C,45369
COC1=CC2=C(C(=O)C(=CO2)C2=CC=C(O)C=C2)C(OC)=C1O,45703
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)C1=CC=C2OC,46094
[H][C@](C)(C1=C(C)C2=C(C=C1)[C@]1([H])CC[C@@]3([H])CC(=O)CC[C@]3(C)[C@@]1([H])C2)[C@]1([H])NC[C@@H](C)C[C@H]1O,46136
COC1=CC=C(C=C1)C1CC(=NN1C1=CC=CC=C1)C1=CC=C(OC)C=C1,46230
[H][C@@]12N(C)CCC1=CC[C@@]1([H])O[C@H](O)C3=CC4=C(OCO4)C=C3[C@@]21[H],46742
CCOC(=O)C1=NN(C(=O)C\1=N/NC1=CC=CC=C1)C1=CC=CC=C1,47050
COC1=CC=C(C=C1OC)[C@@H]1[C@@H](C)[C@H](C)CC2=C1C=C1OCOC1=C2,47111
COC1=CC2=C(C=C1OC)[C@@H]([C@@H](C)[C@H](C)C2)C1=CC=C2OCOC2=C1,47112
COC(=O)C1=CC=CC=C1C1=C2C=CC(=O)C=C2OC2=CC(OC)=CC=C12,47281
[H][C@@]12CC=C3C=CCC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@]21O)C1=COC(=O)C=C1,47346
OC1=CC2=C3C(OC(=O)C4=C3C(OC2=O)=C(O)C(O)=C4)=C1O,47549
COC1=CC=C(CC2(OC)OC3=CC(OC)=CC(OC)=C3C2=O)C=C1,47555
NC1=NC=NC2=C1C(=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C#N,48454
C[C@H]1CC2=C([C@H]([C@@H]1C)C1=CC=C3OCOC3=C1)C1=C(OCO1)C=C2,49360
COC1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=CC(\C=C\C=O)=C1,49673
OC1=CC2=C(NC=C2C2=C\C(C(=O)N2)=C2/C(=O)NC3=C2C=CC=C3)C=C1,49923
[H][C@]12OC(C)(C)O[C@@]1([H])[C@@H](O[C@@H]2CO)N1C=NC2=C1N=CN=C2N(C)C,49951
[H][C@@]12[C@@H](O)C=CC=C1C[C@@]13SS[C@@](CO)(N(C)C1=O)C(=O)N23,50675
COC1=CC2=C(C=C1O)[C@@H]1CC3=CC(OC)=C(OC)C=C3[C@H](C2)N1C,50692
OC[C@H]1O[C@@H](OC2=C(CCC(O)=O)C=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,50786
COC1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2OC(=O)C=CC2=C1,50851
CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C#N)CC1,50929
[H][C@]12C[C@@]3([H])C4=CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@]([H])(C)CO1)O2,51116
[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC1=C2C=CC([C@H](C)[C@]2([H])NC[C@@H](C)C[C@H]2O)=C1C,51165
C1OC2=CC3=C(C=C2O1)C1=CC2=CC=C4OCOC4=C2CN1CC3,51215
