n,RMSE,MAE,R2,model,subset,fold
1196,28.510564378015438,16.81350728506545,0.916223150798657,bigru_tuned,da,4
453,28.925860084730655,17.987671854935844,0.9025578988389072,bigru_tuned,dad,4
333,28.980590196731615,16.966858238648413,0.8938564928902298,bigru_tuned,bodipy,4
13,30.34769667436404,25.73314960186298,0.6815151886377431,bigru_tuned,cyanine,4
0,,,,bigru_tuned,squaraine,4
325,37.98519754472604,20.874187690284856,0.8371937624554362,bigru_tuned,stilbene,4
1813,45.15564852163725,22.508889615467176,0.8578666465379681,bigru_tuned,non_local,4
3683,50.03388763566945,23.979104304957215,0.7831965389010583,chemberta,full,0
737,100.32825414236662,66.62376209240534,-0.4299701470797781,chemberta,lambda500,0
312,148.9268700041625,129.5679805045435,-4.073721246992774,chemberta,lambda600,0
56,41.35138043303549,23.851224626813615,0.393116217721183,chemberta,azo,0
1194,46.820727914711796,22.223409988026887,0.7837434602047287,chemberta,da,0
437,36.140619036690914,19.24029329610135,0.8432000549083667,chemberta,dad,0
330,73.52740997694036,45.678749149206915,0.34021598063538216,chemberta,bodipy,0
8,29.438163529097,23.0191650390625,0.44461161585557374,chemberta,cyanine,0
0,,,,chemberta,squaraine,0
314,50.001992588297696,26.19410880023139,0.7636033543369182,chemberta,stilbene,0
1773,66.77040754821209,34.45693033672327,0.6917956743062421,chemberta,non_local,0
3683,51.69050107727823,26.052543291772583,0.7604495441888771,chemberta,full,1
745,99.80930544007022,69.19060795207214,-0.6096390669196059,chemberta,lambda500,1
312,147.20219764409455,131.41285486503153,-4.861430479026033,chemberta,lambda600,1
50,55.01451459965636,32.89883666992188,0.2525666490581623,chemberta,azo,1
1156,43.277214794588645,21.41997702116302,0.7886642314294299,chemberta,da,1
423,41.55996072428344,22.629420481097167,0.803009352614213,chemberta,dad,1
353,70.522588531497,45.83258331345277,0.2977278675232172,chemberta,bodipy,1
13,54.74591625305449,47.12900015024039,0.20938460961996608,chemberta,cyanine,1
0,,,,chemberta,squaraine,1
291,43.68027852372213,24.425468985435458,0.7828302423299859,chemberta,stilbene,1
1790,67.12323937607815,36.54639034447451,0.6756408401023017,chemberta,non_local,1
3683,56.092057033010974,28.293994887604207,0.7218052446818408,chemberta,full,2
773,108.76257253856473,75.68363964432356,-0.7816912281077002,chemberta,lambda500,2
298,168.77558917754666,153.36879544951893,-5.504939892258994,chemberta,lambda600,2
50,37.037857046620736,22.2896826171875,0.5934613094970083,chemberta,azo,2
1167,47.674744147509436,23.65449044968703,0.7444712191829456,chemberta,da,2
419,46.30338640220039,23.418229412769428,0.7409894821737648,chemberta,dad,2
339,78.23894343537064,51.904413039846055,0.2109888021139662,chemberta,bodipy,2
11,37.7143693217287,34.21721024946733,-0.03596665334568816,chemberta,cyanine,2
0,,,,chemberta,squaraine,2
291,59.58322807551461,33.66429129088273,0.6224241451727801,chemberta,stilbene,2
1794,73.72108515622891,40.163078444258424,0.6065832689040718,chemberta,non_local,2
3683,52.61279429599721,25.06328816748272,0.7612006300295446,chemberta,full,3
801,100.73161655239845,65.44546244230796,-0.43975362401553375,chemberta,lambda500,3
