canon,n_solvents,lmax_min,lmax_max,lmax_median,span_nm
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,11,397.6143141,454.0,398.8035892,56.3856859
Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,11,461.0419548,517.0630817,483.0917874,56.02112690000001
CC(C)(C)c1ccc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,13,310.0,366.0,315.0,56.0
CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1,5,500.0,556.0,522.0,56.0
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=C(C#N)C#N,8,432.0,487.0,476.5,55.0
CC(C)(C)c1ccc(-c2nc3c4ccc(-c5cccc6ccccc56)cc4c4cc(-c5cccc6ccccc56)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,13,323.0,378.0,326.0,55.0
CC(C)(C)c1cc(-c2cc3c(cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)n3-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)n2-c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)cc(C(C)(C)C)c1,2,337.0,392.0,364.5,55.0
c1ccc(N2N=C(c3cccc4ccccc34)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1,2,391.0,446.0,418.5,55.0
CCCCCCCCCCCCCCCC[n+]1ccc(/C=C/c2ccccc2O)cc1,15,503.8,558.2,547.0,54.400000000000034
CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccccc5)cc4c4cc(-c5ccccc5)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,13,329.0,383.0,331.0,54.0
Cc1s[c+](N2CCOCC2)sc1-c1cc(I)cc(I)c1[O-],4,371.0,425.0,411.0,54.0
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,8,598.0,652.0,622.5,54.0
CC1=C(C)c2cccc3c2c(cc2nc4ccccc4nc23)O1,2,497.0,550.0,523.5,53.0
CCCCCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,8,426.0,479.0,463.0,53.0
Brc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,2,425.0,478.0,451.5,53.0
COc1cc2cc(-c3cc4cc(OC)c(OC)cc4oc3=O)oc2cc1OC,5,358.0,411.0,408.0,53.0
CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccc6ccccc6c5)cc4c4cc(-c5ccc6ccccc6c5)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,13,334.0,387.0,338.0,53.0
Oc1ccccc1/C=N/N=C/c1ccccc1O,14,345.0,398.0,358.5,53.0
c1ccc(-c2csc(-c3ccncc3)n2)cc1,5,323.0,376.0,325.0,53.0
CCCCN1C(=S)c2cccc3c(N(C)C)ccc(c23)C1=S,3,536.0,588.0,571.0,52.0
O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,3,334.0,386.0,353.0,52.0
C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)cc4)c4nsnc34)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,7,518.0,570.0,528.0,52.0
CC1=N/C(=C\c2ccccc2N(C)C)C(=O)N1C,7,346.0,398.0,396.0,52.0
Cc1cc(C)c(C2=C3C=C(/C=C/C(=O)OC(C)(C)C)C=[N+]3[B-](F)(F)n3c2ccc3N2CCOCC2)c(C)c1,6,480.0,532.0,491.0,52.0
COc1ccc2[nH]cc(/C=C/C3=[NH+]c4cccc5cccc3c45)c2c1,2,488.0,540.0,514.0,52.0
CCCCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,8,418.0,470.0,458.0,52.0
O=S(=O)([O-])c1cc([O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,8,432.9941546,484.9895727,464.00270085,51.995418099999995
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,8,422.0,473.0,424.0,51.0
O=c1c2cccc3cccc(c32)c2nc3ccccc3n12,2,384.0,435.0,409.5,51.0
CN(C)c1ccc(C2=C(c3ccccc3)c3oc4ccccc4[n+]3[B-](F)(F)O2)cc1,2,414.0,465.0,439.5,51.0
CN(C)c1ccc(C(=Cc2ccc(C#N)cc2)c2ccc(N(C)C)cc2)cc1,2,364.0,415.0,389.5,51.0
Nc1ccc2c(c1)C(=O)c1ccc(N)cc1C2=O,5,433.4,484.0,474.0,50.60000000000002
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2nc(-c3ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc3)nc(-c3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3)n2)cc1,8,380.0215983,430.0699301,385.69114475000003,50.04833180000003
CCN(CC)c1ccc2c(C#N)c(/C=C(\C#N)c3nc4ccccc4o3)c(=O)oc2c1,9,561.0,611.0,594.0,50.0
CCN(CC)c1ccc2cc(/C=C/c3cccc[n+]3CCCS(=O)(=O)[O-])c(=O)oc2c1,8,480.0,530.0,490.5,50.0
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,10,463.0,513.0,484.5,50.0
CN(CC(O)c1cccc(O)c1)c1ccc([N+](=O)[O-])c(C2CC(c3cccc4ccccc34)=NN2c2ccccc2)c1,11,369.0,418.0,406.0,49.0
O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2nc3ccccc3n2-c2cccc(P(=O)(c3ccccc3)c3ccccc3)c2)cc1,2,314.0,363.0,338.5,49.0
O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2nc3ccccc3n2-c2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1,2,314.0,363.0,338.5,49.0
CCc1s[c+](N2CCCCC2)sc1-c1cc(C)cc(I)c1[O-],4,360.0,409.0,405.5,49.0
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,8,434.0,482.0,438.0,48.0
O=c1oc2ccc(Cl)cc2cc1-c1cc2cc(Cl)ccc2o1,5,327.0,375.0,370.0,48.0
CCOc1ccc2c(-c3nc(-c4ccccc4F)no3)cc(=O)oc2c1,2,345.0,393.0,369.0,48.0
CCC1(CC)c2cc(N(C)C)ccc2-c2ccc(C(F)(F)F)cc21,7,302.0,350.0,342.0,48.0
CCN(CC)c1ccc(/C=N/c2ccccc2/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1,3,442.0,490.0,442.0,48.0
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,7,395.0,443.0,419.0,48.0
CN(C)c1ccc(/C=C/c2cc3ccccc3c[n+]2C)cc1,5,394.0,441.0,425.0,47.0
O=Cc1ccc(-c2ccc(-c3nc4ccccc4s3)c(O)c2)o1,3,326.0,373.0,371.0,47.0
CNc1ccc2c(c1)-c1ccccc1C2=O,4,389.0,436.0,416.5,47.0
CN(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3oc2=O)cc1,14,465.5,512.5,491.5,47.0
CC1=N/C(=C\c2ccccc2N)C(=O)N1C,7,390.0,436.0,424.0,46.0
O=c1oc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2o1,5,331.0,377.0,371.0,46.0
F[B-]1(F)N(c2ccccc2)C=Cc2cccc[n+]21,8,396.0,442.0,420.0,46.0
COCCOCCOc1cc(C=O)c(OCCOCCOC)cc1C=O,11,350.0,396.0,389.0,46.0
Oc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,5,299.0,345.0,340.0,46.0
N#Cc1nc2c(nc1C#N)C1c3ccc(N(c4ccccc4)c4ccccc4)cc3C2c2ccc(N(c3ccccc3)c3ccccc3)cc21,5,378.0,424.0,408.0,46.0
CCCCN1C(=O)C(=CC=C2N(CCCC)c3ccccc3N2CCCC)C(=O)N(CCCC)C1=S,6,424.0,470.0,458.5,46.0
Cc1ccc2c(c1)c(C#N)c(C#N)c1cc(C)ccc12,2,343.0,389.0,366.0,46.0
CC[N+]1=C(/C=C/c2cc3cccc4ccc5cccc2c5c43)C(C)(C)c2ccccc21,6,476.0,521.0,488.0,45.0
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)[nH]c1=S,10,407.0,452.0,440.0,45.0
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,10,508.0,553.0,534.0,45.0
c1csc(-c2cccs2)c1,2,304.0,349.0,326.5,45.0
O=c1c2cc(I)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,3,317.0,362.0,345.0,45.0
CCN(CC)c1ccc2cc(/C=C/C(O)=C3\CC/C(=C\c4cc5ccc(N(CC)CC)cc5oc4=O)C3=O)c(=O)oc2c1,8,511.0,556.0,525.5,45.0
N#Cc1c(C#N)c2cc(Br)ccc2c2ccc(Br)cc12,2,350.0,395.0,372.5,45.0
CC(C)(C)c1ccc2oc3nc4oc5ccc(N(c6ccccc6)c6ccccc6)cc5c4cc3c2c1,2,342.0,386.0,364.0,44.0
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,3,328.0,372.0,330.0,44.0
Cc1ccc(-c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C)cc3)cc2/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,2,410.0,454.0,432.0,44.0
c1ccncc1,4,252.0,296.0,253.0,44.0
CCN(CC)c1ccc(/C=N/c2cc3ccccc3cc2/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1,3,403.0,447.0,416.0,44.0
N#Cc1c(C#N)c2cc(F)ccc2c2ccc(F)cc12,2,335.0,379.0,357.0,44.0
N#CSC1=CC2=C(c3ccccc3)c3ccc(N4CCOCC4)n3[B-](F)(F)[N+]2=C1N1CCOCC1,5,476.0,520.0,487.0,44.0
F[B-]1(F)n2c(Cl)ccc2C(c2c(Cl)cccc2Cl)=C2C=CC(NCc3ccccc3)=[N+]21,5,479.0,523.0,497.0,44.0
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2cccc[n+]21,5,403.0,447.0,421.0,44.0
CN(C)[c+]1scc(-c2cc(I)cc(I)c2[O-])s1,4,394.0,438.0,427.5,44.0
COCCOCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOCCOC)cc1C=O,11,350.0,394.0,375.0,44.0
COCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOC)cc1C=O,11,350.0,394.0,378.0,44.0
Oc1ccccc1/C=N/c1ccc(Cn2cncn2)cc1,15,278.0017236,321.0066769,292.0049057,43.00495330000001
CCOC(=O)c1cc(C)n2nc(-c3ccccc3)ccc12,2,390.0,433.0,411.5,43.0
C(=C/c1c[nH]c2ccc(Oc3ccccc3)cc12)\C1=[NH+]c2cccc3cccc1c23,2,489.0,532.0,510.5,43.0
Nc1ccc2c(c1)-c1ccccc1C2=O,4,386.0,429.0,402.0,43.0
F[B-]1(F)n2c(-c3ccccc3)cnc2-c2cccc[n+]21,8,369.0,412.0,393.5,43.0
Cc1nc2c(ccc3c2sc(/C=C/C=C/c2ccc(N(C)C)cc2)[n+]3C)s1,2,574.0,617.0,595.5,43.0
c1cc2ccc3cccc4ccc(c1)c2c34,10,330.0,373.0,334.5,43.0
O=C(O)c1ccc2ccc3cccc4ccc1c2c34,7,339.0,382.0,379.0,43.0
COc1ccc2n1[B-](F)(F)[N+]1=C(SC#N)C=CC1=C2c1ccccc1,5,474.0,517.0,506.0,43.0
CCN(CC)c1ccc2cc(/C=C/C(=C(C#N)C#N)c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(=O)oc2c1,6,493.0,536.0,517.0,43.0
